Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Segment,Region,Country,Sales_Channel,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method,Order_Status,Delivery_Days,Promised_Delivery_Days,On_Time_Delivery
ORD-00402,2024-01-17,CUST-0196,Customer 196,Consumer,Latin America,Brazil,Retail Store,Accessories,USB-C Hub,8,547.35,0.05,4159.86,3087.63,1072.23,Cash,Completed,6,7,Yes
ORD-00983,2024-01-17,CUST-0289,Customer 289,Consumer,North America,United States,Online,Technology,Laptop Pro 14,7,1024.35,0.15,6094.88,4311.25,1783.63,Bank Transfer,Completed,3,3,Yes
ORD-01269,2024-01-17,CUST-0262,Customer 262,Corporate,Asia Pacific,Singapore,Retail Store,Office Supplies,Ink Cartridge,3,736.75,0.1,1989.22,1089.08,900.14,Credit Card,Completed,6,8,Yes
ORD-01352,2024-01-18,CUST-0263,Customer 263,Small Business,Asia Pacific,India,Online,Technology,Wireless Router,5,1282.49,0.02,6284.2,4044.25,2239.95,PayPal,Completed,14,3,No
ORD-01101,2024-01-18,CUST-0242,Customer 242,Corporate,North America,Canada,Partner,Furniture,Conference Table,6,363.72,0.02,2138.67,1566.76,571.91,Credit Card,Completed,4,4,Yes
ORD-00425,2024-01-18,CUST-0256,Customer 256,Corporate,North America,United States,Retail Store,Accessories,Mechanical Keyboard,10,208.84,0.0,2088.4,1325.87,762.53,Cash,Shipped,4,5,Yes
ORD-00319,2024-01-18,CUST-0122,Customer 122,Consumer,North America,United States,Retail Store,Technology,Laptop Pro 14,7,1464.28,0.02,10044.96,6997.7,3047.26,Cash,Completed,7,9,Yes
ORD-00109,2024-01-20,CUST-0104,Customer 104,Small Business,North America,United States,Online,Accessories,Webcam,8,1011.8,0.02,7932.51,4379.91,3552.6,Bank Transfer,Completed,6,5,No
ORD-00124,2024-01-21,CUST-0076,Customer 76,Consumer,North America,United States,Retail Store,Furniture,Conference Table,4,225.49,0.02,883.92,708.53,175.39,Credit Card,Completed,13,8,No
ORD-00773,2024-01-21,CUST-0170,Customer 170,Consumer,North America,United States,Retail Store,Technology,Tablet X,9,971.77,0.05,8308.63,4829.16,3479.47,Cash,Completed,10,11,Yes
ORD-00165,2024-01-21,CUST-0179,Customer 179,Small Business,North America,Canada,Partner,Technology,Wireless Router,7,408.68,0.05,2717.72,1581.86,1135.86,Bank Transfer,Completed,3,11,Yes
ORD-00968,2024-01-22,CUST-0032,Customer 32,Corporate,Europe,France,Retail Store,Technology,Laptop Pro 14,3,553.98,0.05,1578.84,1036.51,542.33,Bank Transfer,Completed,12,4,No
ORD-01095,2024-01-23,CUST-0030,Customer 30,Corporate,North America,Canada,Online,Technology,Business Monitor,5,274.84,0.15,1168.07,690.66,477.41,Bank Transfer,Completed,10,7,No
ORD-00846,2024-01-23,CUST-0269,Customer 269,Corporate,Europe,United Kingdom,Retail Store,Office Supplies,Ink Cartridge,7,1394.21,0.0,9759.47,6715.31,3044.16,PayPal,Completed,4,6,Yes
ORD-00907,2024-01-23,CUST-0028,Customer 28,Corporate,Middle East,UAE,Online,Technology,Business Monitor,2,728.27,0.02,1427.41,1126.49,300.92,Credit Card,Completed,13,11,No
ORD-00217,2024-01-24,CUST-0035,Customer 35,Consumer,Europe,Germany,Online,Technology,Laptop Pro 14,4,160.36,0.08,590.12,350.15,239.97,Cash,Completed,13,6,No
ORD-01290,2024-01-24,CUST-0074,Customer 74,Consumer,North America,United States,Retail Store,Accessories,USB-C Hub,3,1650.82,0.1,4457.21,2744.03,1713.18,Cash,Completed,13,10,No
ORD-00337,2024-01-26,CUST-0232,Customer 232,Corporate,Latin America,Mexico,Online,Office Supplies,Premium Paper,2,1697.61,0.02,3327.32,2238.29,1089.03,Bank Transfer,Completed,4,7,Yes
ORD-00768,2024-01-27,CUST-0242,Customer 242,Corporate,Latin America,Brazil,Retail Store,Furniture,Conference Table,4,602.73,0.02,2362.7,1770.13,592.57,PayPal,Completed,12,7,No
ORD-00498,2024-01-31,CUST-0193,Customer 193,Corporate,North America,Canada,Retail Store,Office Supplies,Ink Cartridge,5,123.36,0.08,567.46,358.07,209.39,Bank Transfer,Completed,8,10,Yes
ORD-01334,2024-01-31,CUST-0081,Customer 81,Consumer,Latin America,Brazil,Online,Technology,Laptop Pro 14,7,85.23,0.05,566.78,319.94,246.84,Bank Transfer,Completed,2,3,Yes
ORD-00327,2024-02-01,CUST-0245,Customer 245,Consumer,Asia Pacific,Singapore,Online,Technology,Wireless Router,1,816.78,0.05,775.94,587.97,187.97,Bank Transfer,Completed,13,7,No
ORD-00023,2024-02-01,CUST-0023,Customer 23,Consumer,Europe,United Kingdom,Partner,Office Supplies,Office Organizer,8,1056.2,0.08,7773.63,6131.18,1642.45,Bank Transfer,Completed,9,9,Yes
ORD-00739,2024-02-02,CUST-0300,Customer 300,Small Business,Europe,Germany,Online,Technology,Business Monitor,5,219.22,0.05,1041.29,628.54,412.75,Bank Transfer,Completed,2,10,Yes
ORD-00709,2024-02-03,CUST-0199,Customer 199,Corporate,North America,Canada,Retail Store,Furniture,Standing Desk,2,271.41,0.08,499.39,382.9,116.49,Credit Card,Completed,10,5,No
ORD-01201,2024-02-03,CUST-0267,Customer 267,Small Business,Middle East,UAE,Online,Office Supplies,Premium Paper,3,518.85,0.02,1525.42,1079.42,446.0,Cash,Completed,7,10,Yes
ORD-00046,2024-02-03,CUST-0102,Customer 102,Corporate,Asia Pacific,Australia,Online,Technology,Laptop Pro 14,1,965.28,0.02,0.0,725.47,0.0,Credit Card,Cancelled,5,5,Yes
ORD-00304,2024-02-03,CUST-0223,Customer 223,Consumer,Asia Pacific,Australia,Partner,Furniture,Conference Table,1,1028.92,0.02,1008.34,670.98,337.36,PayPal,Completed,14,11,No
ORD-00045,2024-02-03,CUST-0174,Customer 174,Small Business,North America,Canada,Online,Technology,Tablet X,8,1042.56,0.08,7673.24,5928.92,1744.32,PayPal,Completed,3,3,Yes
ORD-00321,2024-02-04,CUST-0173,Customer 173,Small Business,Asia Pacific,Australia,Retail Store,Furniture,Storage Cabinet,1,199.65,0.1,179.68,117.67,62.01,Cash,Completed,13,11,No
ORD-01161,2024-02-04,CUST-0091,Customer 91,Small Business,Middle East,Pakistan,Online,Accessories,Wireless Mouse,1,643.55,0.15,547.02,395.05,151.97,Credit Card,Completed,9,3,No
ORD-00303,2024-02-05,CUST-0281,Customer 281,Corporate,Asia Pacific,India,Online,Technology,Laptop Pro 14,10,1443.37,0.08,0.0,9317.33,0.0,Bank Transfer,Cancelled,10,6,No
ORD-00648,2024-02-05,CUST-0025,Customer 25,Consumer,Asia Pacific,Australia,Online,Office Supplies,Printer,7,1692.53,0.15,10070.55,7194.91,2875.64,Credit Card,Completed,1,4,Yes
ORD-01087,2024-02-06,CUST-0229,Customer 229,Consumer,Asia Pacific,Australia,Partner,Technology,Tablet X,10,1042.27,0.0,10422.7,5506.2,4916.5,Cash,Completed,7,9,Yes
ORD-01465,2024-02-06,CUST-0042,Customer 42,Corporate,Latin America,Brazil,Online,Office Supplies,Ink Cartridge,4,1550.81,0.02,6079.18,3811.44,2267.74,Bank Transfer,Completed,10,3,No
ORD-00673,2024-02-07,CUST-0223,Customer 223,Small Business,North America,United States,Partner,Technology,Laptop Pro 14,2,94.02,0.05,178.64,129.33,49.31,Cash,Completed,14,5,No
ORD-00695,2024-02-07,CUST-0287,Customer 287,Corporate,North America,Canada,Online,Furniture,Storage Cabinet,10,1490.64,0.08,13713.89,7666.84,6047.05,Credit Card,Completed,3,9,Yes
ORD-00687,2024-02-07,CUST-0130,Customer 130,Corporate,Asia Pacific,India,Retail Store,Technology,Tablet X,10,162.56,0.0,1625.6,966.6,659.0,Cash,Returned,7,4,No
ORD-01106,2024-02-08,CUST-0271,Customer 271,Corporate,North America,Canada,Online,Accessories,Webcam,10,659.64,0.08,6068.69,3490.24,2578.45,PayPal,Completed,7,10,Yes
ORD-01420,2024-02-09,CUST-0085,Customer 85,Small Business,Latin America,Mexico,Online,Office Supplies,Premium Paper,4,889.33,0.05,3379.45,2085.64,1293.81,Credit Card,Completed,12,6,No
ORD-00222,2024-02-10,CUST-0017,Customer 17,Consumer,Asia Pacific,India,Partner,Office Supplies,Office Organizer,6,544.97,0.08,3008.23,1724.21,1284.02,Cash,Completed,7,8,Yes
ORD-00528,2024-02-11,CUST-0212,Customer 212,Corporate,North America,Canada,Retail Store,Furniture,Executive Chair,10,1023.21,0.1,9208.89,5924.71,3284.18,Bank Transfer,Completed,5,11,Yes
ORD-00233,2024-02-11,CUST-0052,Customer 52,Consumer,Asia Pacific,Singapore,Online,Technology,Wireless Router,3,1466.82,0.15,3740.39,2278.36,1462.03,PayPal,Completed,10,3,No
ORD-00682,2024-02-11,CUST-0127,Customer 127,Consumer,North America,Canada,Online,Technology,Wireless Router,6,223.71,0.08,1234.88,895.15,339.73,Credit Card,Completed,3,6,Yes
ORD-00521,2024-02-12,CUST-0098,Customer 98,Corporate,Asia Pacific,India,Retail Store,Furniture,Standing Desk,2,49.31,0.02,96.65,60.7,35.95,Bank Transfer,Completed,7,8,Yes
ORD-00986,2024-02-13,CUST-0010,Customer 10,Corporate,Europe,United Kingdom,Partner,Technology,Business Monitor,8,1533.55,0.1,11041.56,6848.79,4192.77,Cash,Returned,6,8,Yes
ORD-00572,2024-02-13,CUST-0287,Customer 287,Consumer,Middle East,UAE,Retail Store,Furniture,Executive Chair,1,1748.06,0.0,1748.06,1175.32,572.74,Bank Transfer,Completed,5,7,Yes
ORD-01034,2024-02-13,CUST-0180,Customer 180,Consumer,North America,United States,Online,Furniture,Storage Cabinet,8,332.43,0.05,2526.47,1909.74,616.73,Credit Card,Shipped,4,10,Yes
ORD-00899,2024-02-15,CUST-0022,Customer 22,Consumer,North America,United States,Online,Furniture,Executive Chair,2,778.73,0.0,1557.46,985.63,571.83,Credit Card,Completed,9,5,No
ORD-00957,2024-02-15,CUST-0018,Customer 18,Small Business,Asia Pacific,Australia,Online,Office Supplies,Printer,4,1615.4,0.0,6461.6,3696.43,2765.17,Cash,Completed,14,9,No
ORD-00961,2024-02-15,CUST-0259,Customer 259,Corporate,North America,Canada,Partner,Technology,Laptop Pro 14,1,61.39,0.08,56.48,40.5,15.98,Credit Card,Returned,11,11,Yes
ORD-00183,2024-02-15,CUST-0033,Customer 33,Consumer,Latin America,Brazil,Online,Office Supplies,Ink Cartridge,7,438.05,0.15,2606.4,1697.09,909.31,Credit Card,Completed,2,5,Yes
ORD-00943,2024-02-16,CUST-0225,Customer 225,Small Business,Asia Pacific,India,Online,Technology,Business Monitor,4,847.58,0.05,3220.8,2603.79,617.01,PayPal,Completed,2,5,Yes
ORD-00630,2024-02-17,CUST-0095,Customer 95,Small Business,North America,Canada,Online,Technology,Tablet X,5,702.11,0.0,3510.55,2221.22,1289.33,Cash,Shipped,5,3,No
ORD-01395,2024-02-18,CUST-0032,Customer 32,Corporate,Europe,United Kingdom,Online,Furniture,Conference Table,10,831.61,0.0,8316.1,6475.59,1840.51,Credit Card,Completed,3,3,Yes
ORD-00786,2024-02-19,CUST-0106,Customer 106,Consumer,Latin America,Mexico,Online,Office Supplies,Premium Paper,7,1023.83,0.02,7023.47,4213.16,2810.31,Credit Card,Completed,2,4,Yes
ORD-00589,2024-02-19,CUST-0075,Customer 75,Consumer,North America,United States,Partner,Accessories,Wireless Mouse,9,894.58,0.05,7648.66,5762.02,1886.64,Cash,Completed,1,3,Yes
ORD-00926,2024-02-19,CUST-0230,Customer 230,Corporate,North America,Canada,Retail Store,Furniture,Conference Table,8,1420.32,0.05,10794.43,7422.43,3372.0,Cash,Completed,13,6,No
ORD-01492,2024-02-19,CUST-0010,Customer 10,Consumer,Europe,France,Online,Furniture,Standing Desk,8,1479.73,0.0,11837.84,6739.03,5098.81,Cash,Completed,3,11,Yes
ORD-01300,2024-02-19,CUST-0132,Customer 132,Consumer,Asia Pacific,Singapore,Online,Furniture,Executive Chair,6,360.34,0.0,2162.04,1266.55,895.49,Cash,Completed,4,7,Yes
ORD-00885,2024-02-21,CUST-0016,Customer 16,Consumer,Middle East,UAE,Partner,Technology,Wireless Router,5,1050.79,0.02,5148.87,3180.03,1968.84,PayPal,Completed,4,11,Yes
ORD-00534,2024-02-22,CUST-0109,Customer 109,Corporate,Asia Pacific,Australia,Retail Store,Furniture,Executive Chair,4,385.93,0.1,1389.35,1127.21,262.14,Cash,Shipped,9,4,No
ORD-00417,2024-02-22,CUST-0123,Customer 123,Consumer,Europe,Germany,Retail Store,Technology,Wireless Router,3,1003.71,0.05,2860.57,1839.64,1020.93,Cash,Completed,6,6,Yes
ORD-00522,2024-02-22,CUST-0057,Customer 57,Consumer,Europe,France,Online,Furniture,Conference Table,7,51.33,0.0,359.31,251.53,107.78,Cash,Completed,4,8,Yes
ORD-00386,2024-02-23,CUST-0200,Customer 200,Corporate,Middle East,UAE,Retail Store,Accessories,Webcam,10,835.88,0.0,8358.8,6808.39,1550.41,PayPal,Completed,1,3,Yes
ORD-00355,2024-02-23,CUST-0286,Customer 286,Consumer,North America,Canada,Retail Store,Technology,Laptop Pro 14,9,1335.48,0.08,11057.77,6649.93,4407.84,Cash,Completed,9,5,No
ORD-01171,2024-02-23,CUST-0270,Customer 270,Consumer,Asia Pacific,Singapore,Online,Office Supplies,Printer,9,1128.16,0.05,9645.77,6881.44,2764.33,Bank Transfer,Completed,2,5,Yes
ORD-01086,2024-02-23,CUST-0285,Customer 285,Corporate,Europe,Germany,Retail Store,Office Supplies,Premium Paper,9,1072.97,0.02,9463.6,4931.02,4532.58,Credit Card,Returned,7,8,Yes
ORD-01440,2024-02-23,CUST-0160,Customer 160,Consumer,Asia Pacific,India,Online,Office Supplies,Ink Cartridge,8,1286.87,0.02,10089.06,6759.95,3329.11,Bank Transfer,Completed,2,8,Yes
ORD-01353,2024-02-23,CUST-0049,Customer 49,Corporate,Europe,Germany,Online,Furniture,Conference Table,6,1430.07,0.1,7722.38,5674.62,2047.76,Cash,Completed,1,5,Yes
ORD-00093,2024-02-23,CUST-0187,Customer 187,Small Business,Middle East,Saudi Arabia,Retail Store,Office Supplies,Printer,3,1334.53,0.05,3803.41,2091.91,1711.5,Cash,Shipped,1,11,Yes
ORD-00913,2024-02-24,CUST-0217,Customer 217,Consumer,Asia Pacific,Singapore,Retail Store,Technology,Tablet X,9,407.69,0.05,3485.75,2841.6,644.15,PayPal,Shipped,12,9,No
ORD-00781,2024-02-24,CUST-0219,Customer 219,Consumer,Asia Pacific,Singapore,Online,Technology,Tablet X,2,1028.15,0.05,1953.48,1152.7,800.78,Credit Card,Shipped,12,8,No
ORD-01172,2024-02-24,CUST-0270,Customer 270,Corporate,Latin America,Mexico,Online,Accessories,USB-C Hub,6,444.72,0.05,2534.9,1452.81,1082.09,Cash,Completed,11,3,No
ORD-01083,2024-02-25,CUST-0165,Customer 165,Corporate,Europe,United Kingdom,Online,Accessories,Webcam,1,1370.58,0.05,1302.05,1025.94,276.11,Credit Card,Completed,10,8,No
ORD-00320,2024-02-25,CUST-0053,Customer 53,Consumer,North America,Canada,Retail Store,Accessories,USB-C Hub,1,1512.69,0.15,1285.79,788.65,497.14,Bank Transfer,Completed,12,3,No
ORD-00701,2024-02-26,CUST-0184,Customer 184,Small Business,Asia Pacific,India,Partner,Furniture,Standing Desk,4,630.22,0.08,2319.21,1445.95,873.26,Bank Transfer,Completed,5,5,Yes
ORD-00896,2024-02-26,CUST-0088,Customer 88,Consumer,North America,United States,Retail Store,Furniture,Conference Table,9,1387.04,0.0,12483.36,9179.15,3304.21,Cash,Completed,1,3,Yes
ORD-01073,2024-02-26,CUST-0260,Customer 260,Consumer,North America,United States,Online,Furniture,Conference Table,8,511.19,0.05,3885.04,2271.88,1613.16,Cash,Completed,10,8,No
ORD-01059,2024-02-26,CUST-0139,Customer 139,Small Business,Europe,United Kingdom,Retail Store,Furniture,Standing Desk,9,40.51,0.05,346.36,215.28,131.08,Cash,Shipped,13,4,No
ORD-00815,2024-02-26,CUST-0119,Customer 119,Corporate,Latin America,Brazil,Online,Technology,Business Monitor,3,1509.78,0.08,4166.99,2700.88,1466.11,PayPal,Completed,9,10,Yes
ORD-00595,2024-02-27,CUST-0176,Customer 176,Corporate,Latin America,Brazil,Partner,Accessories,Webcam,9,670.65,0.02,5915.13,4150.17,1764.96,PayPal,Completed,7,8,Yes
ORD-00367,2024-02-27,CUST-0152,Customer 152,Consumer,Latin America,Mexico,Retail Store,Technology,Business Monitor,7,1262.54,0.1,7954.0,4262.48,3691.52,Bank Transfer,Completed,13,5,No
ORD-00797,2024-02-28,CUST-0282,Customer 282,Corporate,Latin America,Mexico,Online,Accessories,Webcam,8,1267.1,0.1,9123.12,5002.05,4121.07,Bank Transfer,Completed,8,10,Yes
ORD-00036,2024-02-29,CUST-0110,Customer 110,Consumer,Middle East,Pakistan,Retail Store,Office Supplies,Printer,7,1327.49,0.1,8363.19,6673.55,1689.64,Credit Card,Completed,2,5,Yes
ORD-01001,2024-03-01,CUST-0259,Customer 259,Corporate,North America,United States,Online,Technology,Wireless Router,3,191.96,0.05,547.09,355.88,191.21,Cash,Shipped,11,3,No
ORD-01438,2024-03-02,CUST-0120,Customer 120,Corporate,Asia Pacific,Australia,Online,Accessories,USB-C Hub,6,1717.81,0.02,10100.72,5817.69,4283.03,Credit Card,Completed,10,6,No
ORD-01236,2024-03-02,CUST-0254,Customer 254,Corporate,Europe,France,Online,Accessories,Wireless Mouse,3,498.98,0.15,1272.4,746.78,525.62,Bank Transfer,Completed,13,10,No
ORD-00504,2024-03-02,CUST-0225,Customer 225,Corporate,Middle East,UAE,Online,Office Supplies,Office Organizer,4,1581.69,0.0,6326.76,4290.74,2036.02,Bank Transfer,Completed,13,8,No
ORD-00540,2024-03-03,CUST-0093,Customer 93,Consumer,North America,United States,Retail Store,Technology,Tablet X,6,860.67,0.15,4389.42,2470.52,1918.9,Cash,Completed,2,8,Yes
ORD-00571,2024-03-03,CUST-0199,Customer 199,Consumer,Asia Pacific,India,Online,Technology,Tablet X,10,113.67,0.08,0.0,545.71,0.0,Bank Transfer,Cancelled,1,6,Yes
ORD-00153,2024-03-04,CUST-0225,Customer 225,Consumer,North America,United States,Retail Store,Accessories,Mechanical Keyboard,10,237.15,0.0,2371.5,1635.27,736.23,PayPal,Completed,4,4,Yes
ORD-00981,2024-03-05,CUST-0278,Customer 278,Corporate,Europe,United Kingdom,Online,Office Supplies,Printer,1,884.64,0.0,884.64,515.18,369.46,PayPal,Completed,1,8,Yes
ORD-00684,2024-03-06,CUST-0007,Customer 7,Small Business,Asia Pacific,Singapore,Partner,Furniture,Conference Table,1,1265.37,0.02,1240.06,972.7,267.36,Credit Card,Completed,6,7,Yes
ORD-00455,2024-03-06,CUST-0054,Customer 54,Consumer,North America,Canada,Online,Office Supplies,Office Organizer,10,1464.08,0.08,13469.54,7790.63,5678.91,Credit Card,Completed,1,5,Yes
ORD-00828,2024-03-07,CUST-0140,Customer 140,Corporate,Europe,United Kingdom,Retail Store,Technology,Business Monitor,3,1298.1,0.08,3582.76,2674.02,908.74,Bank Transfer,Completed,11,5,No
ORD-01158,2024-03-07,CUST-0292,Customer 292,Corporate,Latin America,Brazil,Retail Store,Technology,Tablet X,5,1584.37,0.15,6733.57,4350.97,2382.6,PayPal,Completed,5,7,Yes
ORD-00805,2024-03-07,CUST-0068,Customer 68,Consumer,Europe,United Kingdom,Online,Accessories,USB-C Hub,2,615.54,0.0,1231.08,730.95,500.13,PayPal,Completed,14,8,No
ORD-00203,2024-03-07,CUST-0171,Customer 171,Consumer,North America,Canada,Retail Store,Technology,Tablet X,2,1382.2,0.15,2349.74,1608.07,741.67,Cash,Completed,4,9,Yes
ORD-00898,2024-03-07,CUST-0182,Customer 182,Consumer,Latin America,Brazil,Online,Office Supplies,Ink Cartridge,3,344.98,0.08,952.14,546.11,406.03,Bank Transfer,Completed,9,5,No
ORD-00123,2024-03-08,CUST-0084,Customer 84,Small Business,Europe,Germany,Online,Office Supplies,Premium Paper,9,1760.66,0.08,14578.26,8924.78,5653.48,Credit Card,Completed,13,7,No
ORD-00480,2024-03-08,CUST-0214,Customer 214,Corporate,Asia Pacific,India,Online,Technology,Business Monitor,2,173.1,0.02,339.28,231.1,108.18,Credit Card,Completed,5,9,Yes
ORD-00272,2024-03-08,CUST-0216,Customer 216,Corporate,Middle East,Saudi Arabia,Online,Furniture,Standing Desk,2,661.81,0.15,1125.08,594.58,530.5,PayPal,Completed,2,4,Yes
ORD-00533,2024-03-09,CUST-0096,Customer 96,Small Business,Latin America,Brazil,Online,Office Supplies,Office Organizer,2,978.92,0.05,1859.95,1088.4,771.55,Cash,Completed,1,6,Yes
ORD-00531,2024-03-10,CUST-0039,Customer 39,Small Business,Middle East,Saudi Arabia,Online,Furniture,Executive Chair,1,753.66,0.05,715.98,387.71,328.27,Credit Card,Completed,6,3,No
ORD-01216,2024-03-11,CUST-0011,Customer 11,Corporate,North America,United States,Online,Office Supplies,Ink Cartridge,9,425.55,0.05,3638.45,2102.2,1536.25,Bank Transfer,Completed,8,5,No
ORD-00507,2024-03-11,CUST-0113,Customer 113,Corporate,Latin America,Mexico,Online,Technology,Tablet X,5,565.66,0.0,2828.3,1957.89,870.41,Cash,Completed,3,4,Yes
ORD-00881,2024-03-12,CUST-0060,Customer 60,Consumer,North America,United States,Online,Technology,Tablet X,9,510.65,0.2,0.0,2835.1,0.0,PayPal,Cancelled,9,5,No
